case,virtual_depth,allocation_policy,graph_capture,recurring_allocation,disposition
cube,0,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
wake,0,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
multiscale,0,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
sigma_multiscale,0,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
cube,1,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
wake,1,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
multiscale,1,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
sigma_multiscale,1,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
cube,2,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
wake,2,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
multiscale,2,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
sigma_multiscale,2,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
cube,3,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
wake,3,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
multiscale,3,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
sigma_multiscale,3,preallocated_upper_bound,compatible,zero_if_implemented,rejected_before_capacity_allocation
