case,P,precision,near_radius2,K_max,virtual_depth,baseline_ns,promoted_config_ns,oracle_ns,selector_ns,selector_decision,oracle_decision,selector_gap_fraction,capacity_bytes,refresh_items,complete_solve_delta_fraction
cube,4,Float64,5,32,0,28132.513920,589033.133280,28132.513920,28132.513920,direct_fallback,direct,0.000000000,0,0,0.000000000
cube,4,Float32,5,32,0,14066.256960,294516.566640,14066.256960,14066.256960,direct_fallback,direct,0.000000000,0,0,0.000000000
cube,8,Float64,5,32,0,28132.513920,589033.133280,28132.513920,28132.513920,direct_fallback,direct,0.000000000,0,0,0.000000000
cube,8,Float32,5,32,0,14066.256960,294516.566640,14066.256960,14066.256960,direct_fallback,direct,0.000000000,0,0,0.000000000
cube,4,Float64,5,32,1,28132.513920,13245789.489120,28132.513920,28132.513920,direct_fallback,direct,0.000000000,71040,1110,0.000000000
cube,4,Float32,5,32,1,14066.256960,6622894.744560,14066.256960,14066.256960,direct_fallback,direct,0.000000000,53280,1110,0.000000000
cube,8,Float64,5,32,1,28132.513920,13245789.489120,28132.513920,28132.513920,direct_fallback,direct,0.000000000,71040,1110,0.000000000
cube,8,Float32,5,32,1,14066.256960,6622894.744560,14066.256960,14066.256960,direct_fallback,direct,0.000000000,53280,1110,0.000000000
cube,4,Float64,5,32,2,28132.513920,28911213.148320,28132.513920,28132.513920,direct_fallback,direct,0.000000000,146112,2283,0.000000000
cube,4,Float32,5,32,2,14066.256960,14455606.574160,14066.256960,14066.256960,direct_fallback,direct,0.000000000,109584,2283,0.000000000
cube,8,Float64,5,32,2,28132.513920,28911213.148320,28132.513920,28132.513920,direct_fallback,direct,0.000000000,146112,2283,0.000000000
cube,8,Float32,5,32,2,14066.256960,14455606.574160,14066.256960,14066.256960,direct_fallback,direct,0.000000000,109584,2283,0.000000000
cube,4,Float64,5,32,3,28132.513920,31852805.512080,28132.513920,28132.513920,direct_fallback,direct,0.000000000,168960,2640,0.000000000
cube,4,Float32,5,32,3,14066.256960,15926402.756040,14066.256960,14066.256960,direct_fallback,direct,0.000000000,126720,2640,0.000000000
cube,8,Float64,5,32,3,28132.513920,31852805.512080,28132.513920,28132.513920,direct_fallback,direct,0.000000000,168960,2640,0.000000000
cube,8,Float32,5,32,3,14066.256960,15926402.756040,14066.256960,14066.256960,direct_fallback,direct,0.000000000,126720,2640,0.000000000
wake,4,Float64,5,32,0,41158.705152,42228.643104,41158.705152,41158.705152,direct_fallback,direct,0.000000000,0,0,0.000000000
wake,4,Float32,5,32,0,20579.352576,21114.321552,20579.352576,20579.352576,direct_fallback,direct,0.000000000,0,0,0.000000000
wake,8,Float64,5,32,0,41158.705152,42228.643104,41158.705152,41158.705152,direct_fallback,direct,0.000000000,0,0,0.000000000
wake,8,Float32,5,32,0,20579.352576,21114.321552,20579.352576,20579.352576,direct_fallback,direct,0.000000000,0,0,0.000000000
wake,4,Float64,5,32,1,41158.705152,87103.822090,41158.705152,41158.705152,direct_fallback,direct,0.000000000,52288,817,0.000000000
wake,4,Float32,5,32,1,20579.352576,43551.911045,20579.352576,20579.352576,direct_fallback,direct,0.000000000,39216,817,0.000000000
wake,8,Float64,5,32,1,41158.705152,87103.822090,41158.705152,41158.705152,direct_fallback,direct,0.000000000,52288,817,0.000000000
wake,8,Float32,5,32,1,20579.352576,43551.911045,20579.352576,20579.352576,direct_fallback,direct,0.000000000,39216,817,0.000000000
wake,4,Float64,5,32,2,41158.705152,111638.365136,41158.705152,41158.705152,direct_fallback,direct,0.000000000,94976,1484,0.000000000
wake,4,Float32,5,32,2,20579.352576,55819.182568,20579.352576,20579.352576,direct_fallback,direct,0.000000000,71232,1484,0.000000000
wake,8,Float64,5,32,2,41158.705152,111638.365136,41158.705152,41158.705152,direct_fallback,direct,0.000000000,94976,1484,0.000000000
wake,8,Float32,5,32,2,20579.352576,55819.182568,20579.352576,20579.352576,direct_fallback,direct,0.000000000,71232,1484,0.000000000
wake,4,Float64,5,32,3,41158.705152,115296.321966,41158.705152,41158.705152,direct_fallback,direct,0.000000000,146304,2286,0.000000000
wake,4,Float32,5,32,3,20579.352576,57648.160983,20579.352576,20579.352576,direct_fallback,direct,0.000000000,109728,2286,0.000000000
wake,8,Float64,5,32,3,41158.705152,115296.321966,41158.705152,41158.705152,direct_fallback,direct,0.000000000,146304,2286,0.000000000
wake,8,Float32,5,32,3,20579.352576,57648.160983,20579.352576,20579.352576,direct_fallback,direct,0.000000000,109728,2286,0.000000000
multiscale,4,Float64,5,32,0,8389.996232,77491.482188,8389.996232,8389.996232,direct_fallback,direct,0.000000000,0,0,0.000000000
